#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCF_000916695.1_00007 -          2OG-FeII_Oxy         PF03171.23   1.6e-05   22.9   0.1   2.8e-05   22.1   0.1   1.4   1   0   0   1   1   1   1 -
GCF_003226655.1_00005 -          2OG-FeII_Oxy_3       PF13640.9    7.3e-07   27.6   0.2   1.1e-06   27.0   0.2   1.3   1   0   0   1   1   1   1 -
GCF_003308855.1_00008 -          2OG-FeII_Oxy_3       PF13640.9      1e-06   27.1   0.0   1.7e-06   26.4   0.0   1.4   1   0   0   1   1   1   1 -
GCA_003143435.2_00044 -          2OG-FeII_Oxy_3       PF13640.9    2.9e-06   25.7   0.0   4.6e-06   25.0   0.0   1.4   1   0   0   1   1   1   1 -
GCF_003143215.1_00045 -          2OG-FeII_Oxy_3       PF13640.9    2.9e-06   25.7   0.0   4.6e-06   25.0   0.0   1.4   1   0   0   1   1   1   1 -
GCF_000916695.1_00007 -          2OG-FeII_Oxy_3       PF13640.9    5.2e-06   24.9   0.1   1.1e-05   23.8   0.1   1.5   1   0   0   1   1   1   1 -
GCF_000892395.1_00004 -          2OG-FeII_Oxy_3       PF13640.9    6.5e-06   24.6   0.0   9.6e-06   24.0   0.0   1.3   1   0   0   1   1   1   1 -
GCA_020489725.1_00006 -          2OG-FeII_Oxy_3       PF13640.9    8.3e-05   21.0   0.0   0.00012   20.4   0.0   1.3   1   0   0   1   1   1   1 -
GCF_002757895.1_00006 -          2OG-FeII_Oxy_3       PF13640.9    8.3e-05   21.0   0.0   0.00012   20.4   0.0   1.3   1   0   0   1   1   1   1 -
GCA_015644885.1_00032 -          AEP1                 PF17049.8    9.4e-05   19.2   0.0   9.6e-05   19.1   0.0   1.0   1   0   0   1   1   1   1 -
GCF_013490925.1_00004 -          ArdA                 PF07275.14   1.4e-38  130.7   5.7   1.6e-38  130.4   5.7   1.1   1   0   0   1   1   1   1 -
GCA_016600835.1_00003 -          ArdA                 PF07275.14   2.8e-09   35.4   9.3   4.5e-09   34.7   9.3   1.4   1   1   0   1   1   1   1 -
GCF_000907035.1_00010 -          ArdcN                PF08401.14   1.2e-19   68.4   0.0   3.5e-19   66.9   0.0   1.7   2   0   0   2   2   1   1 -
GCA_024499755.1_00042 -          ArdcN                PF08401.14   1.4e-16   58.5   0.0   2.9e-16   57.5   0.0   1.5   1   0   0   1   1   1   1 -
GCA_024381135.1_00008 -          Bactofilin           PF04519.16   4.8e-08   30.8   5.5   0.00016   19.5   1.3   2.2   1   1   1   2   2   2   2 -
GCF_004319625.1_00012 -          BrkDBD               PF09607.13     1e-05   23.0   0.0   1.5e-05   22.4   0.0   1.4   1   0   0   1   1   1   1 -
GCA_008215665.1_00005 -          BrkDBD               PF09607.13   2.9e-05   21.5   0.0   4.1e-05   21.0   0.0   1.3   1   0   0   1   1   1   1 -
GCF_001745095.1_00004 -          BrkDBD               PF09607.13   3.5e-05   21.2   0.0   5.2e-05   20.7   0.0   1.3   1   0   0   1   1   1   1 -
GCA_014337515.1_00044 -          BrkDBD               PF09607.13   6.2e-05   20.4   0.0   9.5e-05   19.8   0.0   1.4   1   0   0   1   1   1   1 -
GCA_023094075.1_00004 -          BrkDBD               PF09607.13   6.2e-05   20.4   0.0   9.5e-05   19.8   0.0   1.4   1   0   0   1   1   1   1 -
GCF_003958785.1_00003 -          Bro-N                PF02498.20   1.3e-13   49.1   0.0     1e-12   46.2   0.0   2.1   2   0   0   2   2   1   1 -
GCA_019466425.2_00034 -          Bro-N                PF02498.20   8.2e-13   46.4   0.0   3.1e-12   44.6   0.0   1.9   2   0   0   2   2   1   1 -
GCF_003094295.1_00005 -          Bro-N                PF02498.20   2.5e-12   44.9   0.0   5.6e-12   43.8   0.0   1.6   1   0   0   1   1   1   1 -
GCF_003308855.1_00010 -          Bro-N                PF02498.20   1.7e-11   42.2   0.0   2.8e-11   41.5   0.0   1.4   1   0   0   1   1   1   1 -
GCA_024381135.1_00008 -          B_solenoid_ydck      PF18836.4    1.1e-25   85.0  22.5   0.00026   18.4   0.1   8.3   1   1   6   8   8   8   8 -
GCA_006384715.1_00012 -          DnaJ_CXXCXGXG        PF00684.22     4e-06   24.6   1.0   6.7e-06   23.9   1.0   1.4   1   0   0   1   1   1   1 -
GCF_000918515.1_00018 -          DNA_ligase_A_M       PF01068.24   4.8e-12   43.5   0.0   1.1e-11   42.3   0.0   1.6   1   1   0   1   1   1   1 -
GCF_001470995.1_00021 -          DNA_ligase_A_M       PF01068.24   4.1e-11   40.5   0.0   6.2e-11   39.9   0.0   1.2   1   0   0   1   1   1   1 -
GCF_000918515.1_00018 -          DNA_ligase_C         PF17879.4    1.8e-05   22.3   0.0   3.7e-05   21.3   0.0   1.7   1   1   0   1   1   1   1 -
GCF_000918515.1_00018 -          DNA_ligase_OB_2      PF14743.9    2.1e-12   44.5   0.2   4.6e-12   43.4   0.2   1.6   1   0   0   1   1   1   1 -
GCF_001470995.1_00021 -          DNA_ligase_OB_2      PF14743.9    2.1e-09   34.9   0.0   5.7e-09   33.5   0.0   1.7   2   0   0   2   2   1   1 -
